name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s),busy(s)
binarytrees,fpascal,6,14,936,0.034,0,0,0% 33% 50% 100%,0.019,0.035
binarytrees,fpascal,6,21,936,5.012,132484,0,41% 59% 47% 100%,2.055,5.082
binarytrees,perl,3,7,648,0.039,4852,0,50% 0% 6% 2%,0.465,0.272
binarytrees,perl,3,14,648,1.839,27456,0,98% 89% 84% 55%,0.569,1.861
binarytrees,perl,3,21,648,356.332,2203444,0,92% 75% 100% 72%,105.706,357.141
binarytrees,icx,5,7,908,0.003,0,0,0% 80% 20% 9%,0.099,0.108
binarytrees,icx,5,14,908,0.153,1300,0,60% 83% 83% 83%,0.055,0.171
binarytrees,icx,5,21,908,32.273,351620,0,83% 99% 92% 90%,8.920,32.390
binarytrees,dartexe,4,7,1387,0.014,0,0,10% 0% 67% 33%,0.091,0.100
binarytrees,dartexe,4,14,1387,0.080,1660,0,40% 60% 50% 0%,0.049,0.073
binarytrees,dartexe,4,21,1387,28.722,506164,0,56% 61% 53% 52%,13.027,28.837
binarytrees,rust,5,7,765,0.004,0,0,43% 22% 0% 14%,0.082,0.065
binarytrees,rust,5,14,765,0.023,0,0,100% 100% 50% 100%,0.010,0.035
binarytrees,rust,5,21,765,3.896,198404,0,86% 98% 86% 85%,1.106,3.934
binarytrees,julia,4,7,372,34.918,317960,0,44% 50% 52% 50%,19.553,38.223
binarytrees,julia,4,14,372,34.505,319452,0,67% 75% 58% 58%,13.396,34.588
binarytrees,julia,4,21,372,46.859,499672,0,85% 69% 66% 66%,16.499,47.229
binarytrees,php,1,7,451,0.026,11500,0,4% 0% 15% 90%,0.516,0.565
binarytrees,php,1,14,451,0.254,19032,0,0% 0% 0% 100%,0.256,0.256
binarytrees,php,1,21,451,61.831,749000,0,21% 0% 0% 80%,61.853,62.517
binarytrees,swift,1,7,714,0.026,10320,0,2% 4% 14% 97%,0.882,1.035
binarytrees,swift,1,14,714,0.299,17616,0,54% 75% 83% 58%,0.114,0.308
binarytrees,swift,1,21,714,59.027,733288,0,71% 63% 68% 95%,19.849,59.145
binarytrees,dartexe,5,7,1016,0.013,0,0,56% 13% 0% 0%,0.082,0.056
binarytrees,dartexe,5,14,1016,0.083,1616,0,50% 50% 50% 75%,0.049,0.111
binarytrees,dartexe,5,21,1016,32.677,490460,0,61% 59% 56% 61%,14.243,33.538
binarytrees,gpp,1,7,754,0.006,320,0,8% 0% 25% 58%,0.123,0.113
binarytrees,gpp,1,14,754,0.036,0,0,50% 50% 0% 67%,0.018,0.030
binarytrees,gpp,1,21,754,8.920,2012452,0,85% 86% 83% 94%,2.632,9.143
binarytrees,erlang,1,7,420,0.374,35140,0,25% 31% 19% 27%,1.041,1.063
binarytrees,erlang,1,14,420,0.276,41004,0,35% 57% 23% 29%,0.215,0.308
binarytrees,erlang,1,21,420,12.141,447028,0,13% 3% 87% 2%,11.957,12.442
binarytrees,rust,3,7,754,0.004,0,0,0% 56% 30% 0%,0.084,0.072
binarytrees,rust,3,14,754,0.024,0,0,100% 100% 100% 100%,0.010,0.040
binarytrees,rust,3,21,754,4.816,191640,0,99% 90% 89% 90%,1.323,4.866
